Date,Grade,Rope,Attempt,Route,Pitch,,Location,Wall,Notes
.,,,,,,,,,
2021-10-14,4c,Second,OS,Lighthouse Arete,2,Wales,Gogarth,,South Stack
2021-10-14,4c,Second,OS,Pel,2,,,,
.,,,,,,,,,
