Date,Grade,Rope,Attempt,Colour,Location,Wall,Notes
2018-01-02,8,TR,OS,Pink,TRC MV,Horseshoe right,"Weak climbing day; many route attempts, one success"
2018-01-06,9,TR,RP,Green,TRC NR,,North Raleigh
2018-01-06,9,TR,OS,Red,TRC NR,,"Slippery, reachy"
2018-01-06,9,TR,OS,Yellow,TRC NR,,Very overhung
2018-01-06,9,TR,OS,?,TRC NR,,
2018-01-06,9,TR,OS,?,TRC NR,,
